Customer ID,First Name,Last Name,Gender,Date of Birth,Contact Number,Email ID,Address,City,State,Postal Code,Country,Transaction ID,Transaction Date,Product,Purchase Amount,Payment Method,Order Status,Account Balance,Credit Score,Loan Amount,Interest Rate,Interaction Date,Interaction Type,Interaction Subject,Notes,Website Visits,Time Spent,Social Media Platform,Post/Comment Date,Sentiment,Engagement Metrics,Survey ID,Survey Responses,Feedback Date,Ratings,Feedback Comments,Frequency of Purchase,Recurring Purchases,Seasonal Patterns,Customer Segment,Segment Preferences,Segment Behavior,Churn Status,Churn Date,Social Media Handle
c00fc04b-92df-44f5-9dd7-dbed5ab8d963,Kashvi,Hari,Male,1974-12-05,+916059833219,kashvi.hari@icloud.com,"H.No. 32
Hari Road, Surendranagar Dudhrej 910177",Davanagere,Chhattisgarh,027052,India,e2272f8c-e71f-42f9-91da-86704c484606,2023-10-01 14:43:12,Savings Account,7890.06,Internet Banking,Pending,25608.32,516,402473.2,9.78,2023-11-06 18:15:07,Email,Account Statement Request,Customer inquiring about their recent transactions and account balance.,49,65,Twitter,2023-11-21 10:02:45,Positive,68,479871dc-fb7a-4c50-b3e6-da7368c897a2,Excellent: Odit quos id.,2023-11-03 17:24:40,5,Helpful: Voluptates sit fugiat necessitatibus perferendis veniam quam.,High,No,Spring,Segment A,Helpful: Excepturi deleniti et minima illum numquam.,Excellent: Provident nihil repudiandae minus.,Churned,2023-07-27,kashvi_hari_88
6d91e17d-ff5a-47b3-9513-6990bf4825c3,Nitara,Choudhury,Female,1977-06-22,3237597633,nitara.choudhury@rediffmail.com.,"58/97
Raman Street, Dehri-769305",Panchkula,West Bengal,793766,India,fb39fb03-07ff-4da2-a4b0-a7ae68746217,2023-09-01 21:13:44,Credit Card,51640.7,Cheque,Cancelled,24316.87,549,336668.88,9.23,2023-11-02 00:40:40,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,6,27,Twitter,2023-11-01 01:40:17,Neutral,84,6b7a9470-cb8e-4bbb-aa40-8162f2df2583,Satisfied: Hic numquam soluta ut maiores.,2023-11-16 14:24:39,1,Great: Repudiandae praesentium architecto tempora nemo alias.,High,No,Winter,Segment C,Helpful: Natus est maxime aliquam fugiat.,Great: Neque excepturi odit nostrum nemo natus omnis.,Active,,nitara_choudhury_75
10917898-b4b9-440d-81d4-9ebcc36dafb4,Shalv,Tiwari,Female,1998-06-06,+912357031124,shalv.tiwari@yahoo.com,"55/517, Salvi Street
Muzaffarnagar-027911",Sonipat,Sikkim,957064,India,7f03f447-b5ad-4ea6-9cdf-bf2d66719908,2023-01-14 20:18:51,Personal Loan,17561.77,Debit Card,Completed,1773.01,603,386732.46,9.23,2023-11-22 07:08:15,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,32,57,Facebook,2023-11-21 16:09:35,Negative,71,66c1142b-4f85-48b4-9c6f-2506f6c57535,Excellent: Saepe eligendi cumque voluptate quia.,2023-11-05 03:30:12,3,Satisfied: Voluptas ullam sed voluptas cupiditate illo quia ut.,Medium,Yes,Summer,Segment B,Great: Nostrum reiciendis hic.,Helpful: Accusantium numquam sunt.,Churned,2023-07-24,shalv_tiwari_76
ebee0844-34b8-405f-8c24-76f78cf332a2,Aniruddh,Chaudhari,Female,1976-11-12,09321540765,aniruddh.chaudhari@rediffmail.com.,"920, Kumer Ganj, Sri Ganganagar-628193",Dindigul,Himachal Pradesh,660267,India,c7bff961-1deb-4410-b4f3-bb285cb32960,2023-10-15 18:54:09,Credit Card,88591.15,Debit Card,Cancelled,2245.32,523,11632.27,13.81,2023-11-01 22:34:53,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,35,28,Facebook,2023-11-11 17:16:13,Neutral,74,06ef00df-c8cb-405a-83ca-46bbed263451,Satisfied: Perferendis tempora dolorem earum repellat ut asperiores dolore.,2023-11-13 03:33:35,3,Excellent: Optio et officiis.,Medium,Yes,Spring,Segment A,Excellent: Nobis blanditiis pariatur molestiae.,Excellent: Suscipit sequi quisquam sint ducimus.,Churned,2023-09-11,aniruddh_chaudhari_40
f2027217-6d40-48c6-8b3c-1dd4908faba7,Aayush,Ravi,Male,1981-12-13,07848481329,aayush.ravi@yahoo.com,"H.No. 77
Sura Circle, Durgapur 484897",Rajpur Sonarpur,Punjab,321605,India,1e734ae2-c901-462a-9cfe-e2f70fbdb88d,2023-08-10 11:28:53,Credit Card,87492.83,UPI,Pending,40981.84,788,443993.09,7.63,2023-11-07 17:55:38,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,27,180,Twitter,2023-11-03 14:57:04,Negative,21,75f2bc68-0ef5-480e-a133-6736e20f03ef,Excellent: In itaque enim quam minima aspernatur voluptate.,2023-11-13 04:51:33,3,Helpful: Voluptatem quo non cupiditate maxime.,High,No,Winter,Segment A,Helpful: Maiores repudiandae et id consequuntur.,Helpful: Quaerat illo a quidem vitae perspiciatis.,Active,,aayush_ravi_18
7bd4356f-2040-4cb7-9388-5a7a3ab9ce84,Aradhya,Krish,Male,1971-10-14,08051395553,aradhya.krish@outlook.com,"24/408
Bala Nagar, Firozabad-044605",Hyderabad,Assam,039756,India,81b06006-2199-41dd-a717-53c7038e3368,2023-01-08 18:01:17,Credit Card,92852.55,Cheque,Pending,24630.14,631,438985.61,6.07,2023-11-18 08:27:14,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,9,68,Twitter,2023-11-07 00:15:42,Negative,60,6338fbce-c031-492e-80cf-d3299ecf2705,Helpful: Repellat fugit mollitia quis quo.,2023-11-14 21:57:05,2,Helpful: Error earum eveniet tenetur.,Low,Yes,Winter,Segment A,Excellent: Explicabo quia ab.,Satisfied: Numquam sunt id adipisci.,Active,,aradhya_krish_92
271114ec-a16c-40b7-8013-01db968c576d,Nakul,Bal,Female,1982-03-01,08285578160,nakul.bal@rediffmail.com.,"768
Rajagopalan Road
Ozhukarai-647027",Erode,Andhra Pradesh,768635,India,60fd37af-d5cc-4b2c-8964-53224ed453be,2023-01-24 23:36:14,Personal Loan,18874.61,UPI,Cancelled,48489.26,849,456872.49,14.56,2023-11-08 19:14:19,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,17,48,Instagram,2023-11-10 14:20:19,Negative,24,ece35ad2-8ab5-4758-851e-9e51af436f2e,Great: Temporibus a pariatur impedit asperiores fugit nemo molestias.,2023-11-07 18:56:50,1,Great: Provident dolores praesentium autem sapiente dolor assumenda.,Medium,No,Fall,Segment C,Helpful: Voluptatum modi eveniet.,Satisfied: Numquam suscipit quas quidem enim.,Churned,2023-04-15,nakul_bal_12
360161e9-4527-4386-bbdf-02cf2a11553f,Jivin,Sachdeva,Female,1979-08-21,03396234720,jivin.sachdeva@outlook.com,"15/994
Kothari Ganj
Ghaziabad 063149",Bongaigaon,Punjab,958560,India,2b08931a-dafe-4ed0-9bc0-d3dcaf8b7289,2023-07-18 06:58:57,Personal Loan,90032.2,Cheque,Completed,22516.2,640,304263.75,11.68,2023-11-01 02:57:22,Email,Account Statement Request,Customer inquiring about their recent transactions and account balance.,15,84,Instagram,2023-11-17 05:47:54,Neutral,97,9448a08a-9d4b-4a19-aa15-1380a76ce100,Great: Omnis reiciendis nulla cupiditate minus.,2023-11-11 18:15:06,3,Satisfied: Adipisci dolores reiciendis quis non dolores.,High,Yes,Spring,Segment C,Helpful: Earum ducimus enim nulla.,Great: Quaerat eos earum impedit.,Churned,2023-03-23,jivin_sachdeva_45
872191de-456e-4f47-ac03-67b94db6be15,Krish,Zachariah,Female,1978-09-26,00260776293,krish.zachariah@outlook.com,"H.No. 07, Ramakrishnan Marg
Bareilly 552548",Etawah,Nagaland,947362,India,86c7dd5d-ae55-452b-9f8d-393455c1f106,2023-03-15 03:42:24,Personal Loan,27094.88,UPI,Cancelled,25689.41,307,308239.72,11.42,2023-11-14 23:53:22,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,43,162,Twitter,2023-11-01 22:59:50,Positive,4,38ec48af-83df-4519-8140-3a846bac3420,Excellent: Incidunt ipsum itaque neque.,2023-11-08 19:10:38,1,Great: Quam delectus et eius.,Medium,No,Fall,Segment B,Great: Eligendi consequuntur quam corporis.,Great: Ratione culpa laboriosam perferendis recusandae aut.,Churned,2023-07-01,krish_zachariah_25
b35ed042-e5cf-4ec2-a0a8-c13e09f690f0,Heer,Bakshi,Male,1980-03-09,9245519954,heer.bakshi@outlook.com,"H.No. 364, Shere Ganj, Davanagere 200174",Kottayam,Mizoram,804734,India,697ba940-85e4-46a7-88d5-67f1a411e302,2023-03-10 18:00:37,Savings Account,81124.83,Cheque,Pending,9304.43,328,201196.44,5.44,2023-11-17 09:28:10,Call,Home Loan Inquiry,Customer interested in getting information about home loan options.,21,69,Twitter,2023-11-15 23:14:37,Negative,0,15342b0c-fd9c-4ce3-9933-8bbd3e57f971,Satisfied: Quibusdam qui debitis est consequatur rerum.,2023-11-07 14:32:13,2,Excellent: Facere natus commodi facilis quam hic.,Low,No,Winter,Segment A,Excellent: Error nam nemo repudiandae.,Helpful: Vitae temporibus iure.,Active,,heer_bakshi_75
